,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Total_Pages,Total_Duration,Month_sin,Month_cos,Duration per Page Administrative,Duration per Page Informational,Duration per Page ProductRelated
14,0,0.0,0,0.0,2,68.0,0.0,0.1,0.0,0.0,3,2,3,3,2,0,0,2,68.0,0.8660254037844386,0.5000000000000001,,,34.0
15,2,53.0,0,0.0,23,1668.285119,0.008333333,0.016312636,0.0,0.0,1,1,9,3,2,0,0,25,1721.285119,0.8660254037844386,0.5000000000000001,26.5,,72.53413560869565
16,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,1,4,3,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
17,0,0.0,0,0.0,13,334.9666667,0.0,0.007692308,0.0,0.0,1,1,1,4,2,1,0,13,334.9666667,0.8660254037844386,0.5000000000000001,,,25.76666666923077
18,0,0.0,0,0.0,2,32.0,0.0,0.1,0.0,0.0,2,2,1,3,2,0,0,2,32.0,0.8660254037844386,0.5000000000000001,,,16.0
19,0,0.0,0,0.0,20,2981.166667,0.0,0.01,0.0,0.0,2,4,4,4,2,0,0,20,2981.166667,0.8660254037844386,0.5000000000000001,,,149.05833335
20,0,0.0,0,0.0,8,136.1666667,0.0,0.008333333,0.0,1.0,2,2,5,1,2,1,0,8,136.1666667,0.8660254037844386,0.5000000000000001,,,17.0208333375
21,0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,3,3,1,3,2,0,0,2,0.0,0.8660254037844386,0.5000000000000001,,,0.0
22,0,0.0,0,0.0,3,105.0,0.0,0.033333333,0.0,0.0,3,2,1,5,2,0,0,3,105.0,0.8660254037844386,0.5000000000000001,,,35.0
23,0,0.0,0,0.0,2,15.0,0.0,0.1,0.0,0.8,2,4,1,3,2,0,0,2,15.0,0.8660254037844386,0.5000000000000001,,,7.5
24,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,2,4,1,2,1,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
25,0,0.0,0,0.0,5,156.0,0.0,0.04,0.0,0.0,1,1,9,3,2,0,0,5,156.0,0.8660254037844386,0.5000000000000001,,,31.2
26,4,64.6,0,0.0,32,1135.444444,0.002857143,0.00952381,0.0,0.0,2,2,1,3,2,0,0,36,1200.0444439999999,0.8660254037844386,0.5000000000000001,16.15,,35.482638875
27,0,0.0,0,0.0,4,76.0,0.05,0.1,0.0,0.0,1,1,1,3,2,0,0,4,76.0,0.8660254037844386,0.5000000000000001,,,19.0
28,0,0.0,0,0.0,4,63.0,0.0,0.05,0.0,0.2,2,6,1,3,2,0,0,4,63.0,0.8660254037844386,0.5000000000000001,,,15.75
29,1,6.0,1,0.0,45,1582.75,0.043478261,0.050821256,54.17976426,0.4,3,2,1,1,2,0,0,47,1588.75,0.8660254037844386,0.5000000000000001,6.0,0.0,35.172222222222224
30,0,0.0,0,0.0,2,35.0,0.0,0.1,0.0,0.0,1,1,6,3,2,0,0,2,35.0,0.8660254037844386,0.5000000000000001,,,17.5
31,0,0.0,0,0.0,3,78.0,0.0,0.066666667,0.0,0.0,1,2,6,6,2,1,0,3,78.0,0.8660254037844386,0.5000000000000001,,,26.0
32,0,0.0,0,0.0,8,209.5,0.0,0.025,0.0,0.0,2,2,1,1,2,0,0,8,209.5,0.8660254037844386,0.5000000000000001,,,26.1875
33,0,0.0,0,0.0,10,183.6666667,0.04,0.08,0.0,0.0,1,1,3,1,2,0,0,10,183.6666667,0.8660254037844386,0.5000000000000001,,,18.36666667
34,0,0.0,0,0.0,14,380.5,0.014285714,0.028571429,0.0,0.0,2,2,1,1,2,0,0,14,380.5,0.8660254037844386,0.5000000000000001,,,27.178571428571427
35,0,0.0,0,0.0,52,2086.242857,0.015384615,0.020352564,0.0,0.0,2,2,7,1,2,0,0,52,2086.242857,0.8660254037844386,0.5000000000000001,,,40.120054942307696
36,0,0.0,0,0.0,8,388.0,0.025,0.05625,0.0,0.0,3,2,1,4,2,1,0,8,388.0,0.8660254037844386,0.5000000000000001,,,48.5
37,2,18.0,0,0.0,5,298.0,0.0,0.028571429,0.0,0.8,2,2,8,4,2,0,0,7,316.0,0.8660254037844386,0.5000000000000001,9.0,,59.6
38,0,0.0,0,0.0,7,63.0,0.028571429,0.071428571,0.0,0.6,2,2,1,3,2,0,0,7,63.0,0.8660254037844386,0.5000000000000001,,,9.0
39,0,0.0,0,0.0,9,482.0,0.0,0.022222222,0.0,0.0,2,5,1,6,2,0,0,9,482.0,0.8660254037844386,0.5000000000000001,,,53.55555555555556
40,1,9.0,0,0.0,46,4084.393939,0.0,0.001794872,0.0,0.0,2,2,8,4,2,0,0,47,4093.393939,0.8660254037844386,0.5000000000000001,9.0,,88.79117258695652
41,0,0.0,0,0.0,3,22.0,0.0,0.066666667,0.0,0.6,1,1,3,2,2,0,0,3,22.0,0.8660254037844386,0.5000000000000001,,,7.333333333333333
42,0,0.0,0,0.0,15,310.1666667,0.0,0.006666667,0.0,0.0,1,1,4,4,2,0,0,15,310.1666667,0.8660254037844386,0.5000000000000001,,,20.67777778
43,0,0.0,0,0.0,2,34.0,0.0,0.05,0.0,0.4,3,2,2,3,2,0,0,2,34.0,0.8660254037844386,0.5000000000000001,,,17.0
44,0,0.0,0,0.0,4,88.0,0.0,0.05,0.0,0.0,4,1,1,3,2,0,0,4,88.0,0.8660254037844386,0.5000000000000001,,,22.0
45,0,0.0,0,0.0,22,622.25,0.003030303,0.006060606,0.0,0.2,2,5,1,4,2,0,0,22,622.25,0.8660254037844386,0.5000000000000001,,,28.28409090909091
46,0,0.0,0,0.0,14,222.4,0.017142857,0.057142857,0.0,0.0,1,1,1,2,2,0,0,14,222.4,0.8660254037844386,0.5000000000000001,,,15.885714285714286
47,0,0.0,0,0.0,3,80.0,0.066666667,0.133333333,0.0,0.2,3,2,1,3,2,0,0,3,80.0,0.8660254037844386,0.5000000000000001,,,26.666666666666668
48,0,0.0,0,0.0,11,800.8333333,0.0,0.003636364,0.0,0.0,3,2,1,3,2,0,0,11,800.8333333,0.8660254037844386,0.5000000000000001,,,72.8030303
49,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,2,2,3,2,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
50,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,1,3,4,2,1,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
51,0,0.0,0,0.0,12,265.1666667,0.011111111,0.026111111,0.0,0.2,3,2,1,3,2,0,0,12,265.1666667,0.8660254037844386,0.5000000000000001,,,22.097222225
52,0,0.0,0,0.0,2,29.0,0.0,0.1,0.0,1.0,2,4,4,2,2,1,0,2,29.0,0.8660254037844386,0.5000000000000001,,,14.5
53,0,0.0,0,0.0,4,160.0,0.0,0.075,0.0,0.0,4,2,2,3,2,0,0,4,160.0,0.8660254037844386,0.5000000000000001,,,40.0
54,0,0.0,0,0.0,4,135.6666667,0.05,0.025,0.0,0.4,3,3,1,4,2,0,0,4,135.6666667,0.8660254037844386,0.5000000000000001,,,33.916666675
55,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.2,2,4,1,3,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
56,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,3,2,3,3,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
57,4,56.0,2,120.0,36,998.7416667,0.0,0.014736467,19.44707913,0.2,2,2,4,1,2,0,0,42,1174.7416667,0.8660254037844386,0.5000000000000001,14.0,60.0,27.742824075
58,0,0.0,0,0.0,4,104.0,0.0,0.05,0.0,0.4,2,6,6,3,2,0,0,4,104.0,0.8660254037844386,0.5000000000000001,,,26.0
59,2,16.0,0,0.0,16,381.6865079,0.011764706,0.046568627,0.0,0.6,2,4,2,1,2,0,0,18,397.6865079,0.8660254037844386,0.5000000000000001,8.0,,23.85540674375
60,0,0.0,0,0.0,6,169.0,0.0,0.016666667,0.0,0.4,1,1,3,3,2,0,0,6,169.0,0.8660254037844386,0.5000000000000001,,,28.166666666666668
61,0,0.0,0,0.0,8,400.8,0.05,0.120833333,0.0,0.0,1,1,1,3,2,0,0,8,400.8,0.8660254037844386,0.5000000000000001,,,50.1
62,12,279.4166667,0,0.0,42,1553.583333,0.009,0.019666667,38.30849268,0.0,1,1,3,2,2,0,0,54,1832.9999997,0.8660254037844386,0.5000000000000001,23.284722225,,36.99007935714286
63,0,0.0,0,0.0,14,706.5,0.0,0.007142857,0.0,0.0,2,2,5,4,2,1,0,14,706.5,0.8660254037844386,0.5000000000000001,,,50.464285714285715
64,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,2,4,3,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
65,3,87.83333333,0,0.0,27,798.3333333,0.0,0.012643678,22.9160357,0.8,2,2,3,1,2,0,1,30,886.16666663,0.8660254037844386,0.5000000000000001,29.277777776666667,,29.567901233333334
66,4,44.0,0,0.0,90,6951.972222,0.002150538,0.015013034,0.0,0.0,4,1,1,3,2,0,0,94,6995.972222,0.8660254037844386,0.5000000000000001,11.0,,77.24413580000001
67,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,2,2,5,1,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
68,0,0.0,0,0.0,18,902.0,0.0,0.007407407,0.0,0.0,2,7,2,4,2,0,0,18,902.0,0.8660254037844386,0.5000000000000001,,,50.111111111111114
69,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.2,3,2,3,3,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
70,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,6,1,2,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
71,0,0.0,0,0.0,20,197.3777778,0.025,0.0525,0.0,0.0,2,6,6,1,2,0,0,20,197.3777778,0.8660254037844386,0.5000000000000001,,,9.86888889
72,0,0.0,0,0.0,2,43.0,0.0,0.1,0.0,0.4,2,2,3,3,2,0,0,2,43.0,0.8660254037844386,0.5000000000000001,,,21.5
73,0,0.0,0,0.0,8,426.6666667,0.0,0.0125,0.0,0.0,2,4,3,2,2,0,0,8,426.6666667,0.8660254037844386,0.5000000000000001,,,53.3333333375
74,0,0.0,0,0.0,3,135.0,0.0,0.066666667,0.0,0.0,2,4,3,3,2,0,0,3,135.0,0.8660254037844386,0.5000000000000001,,,45.0
75,0,0.0,0,0.0,16,588.3333333,0.0,0.025,0.0,0.0,2,4,1,1,2,0,0,16,588.3333333,0.8660254037844386,0.5000000000000001,,,36.77083333125
76,10,838.7048888879935,0,0.0,36,2111.341667,0.004347826,0.014492754,11.43941195,0.0,2,6,1,2,2,0,1,46,3117.008334,0.8660254037844386,0.5000000000000001,83.87048888879936,,58.64837963888889
77,0,0.0,0,0.0,2,76.0,0.0,0.05,0.0,0.6,3,2,3,3,2,0,0,2,76.0,0.8660254037844386,0.5000000000000001,,,38.0
78,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,1.0,1,1,1,3,2,1,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
79,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,1,1,1,3,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
80,0,0.0,0,0.0,7,208.0,0.0,0.028571429,0.0,0.0,4,1,1,5,2,1,0,7,208.0,0.8660254037844386,0.5000000000000001,,,29.714285714285715
81,0,0.0,0,0.0,4,270.0,0.0,0.016666667,0.0,0.8,1,1,1,3,2,0,0,4,270.0,0.8660254037844386,0.5000000000000001,,,67.5
82,0,0.0,0,0.0,6,39.5,0.0,0.02,0.0,0.0,2,2,1,3,2,0,0,6,39.5,0.8660254037844386,0.5000000000000001,,,6.583333333333333
83,0,0.0,0,0.0,12,375.0,0.016666667,0.058333333,0.0,0.0,3,2,4,1,2,0,0,12,375.0,0.8660254037844386,0.5000000000000001,,,31.25
84,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.8,2,2,2,1,2,1,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
85,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,1,1,3,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
86,0,0.0,0,0.0,7,150.0,0.057142857,0.085714286,0.0,0.0,2,2,2,1,2,0,0,7,150.0,0.8660254037844386,0.5000000000000001,,,21.428571428571427
87,0,0.0,0,0.0,3,138.0,0.0,0.066666667,0.0,0.0,1,1,1,3,2,0,0,3,138.0,0.8660254037844386,0.5000000000000001,,,46.0
88,0,0.0,0,0.0,7,337.5,0.028571429,0.023809524,0.0,0.4,4,1,3,3,2,0,0,7,337.5,0.8660254037844386,0.5000000000000001,,,48.214285714285715
89,0,0.0,0,0.0,19,620.0333333,0.0,0.007894737,0.0,0.0,1,1,4,2,2,0,0,19,620.0333333,0.8660254037844386,0.5000000000000001,,,32.633333331578946
90,2,36.0,0,0.0,15,168.8461538,0.0,0.011764706,0.0,0.4,1,1,1,3,2,0,0,17,204.8461538,0.8660254037844386,0.5000000000000001,18.0,,11.256410253333334
91,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,1,1,2,2,1,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
92,0,0.0,0,0.0,2,52.0,0.0,0.1,0.0,0.0,1,1,1,3,2,0,0,2,52.0,0.8660254037844386,0.5000000000000001,,,26.0
93,0,0.0,0,0.0,13,649.25,0.0,0.015384615,0.0,0.0,2,2,1,5,0,0,0,13,649.25,0.8660254037844386,0.5000000000000001,,,49.94230769230769
94,0,0.0,0,0.0,27,925.3333333,0.003703704,0.025925926,0.0,0.6,4,1,3,3,2,0,0,27,925.3333333,0.8660254037844386,0.5000000000000001,,,34.27160493703704
95,0,0.0,0,0.0,2,33.0,0.0,0.1,0.0,0.2,1,1,1,3,2,0,0,2,33.0,0.8660254037844386,0.5000000000000001,,,16.5
96,0,0.0,0,0.0,6,1566.5,0.05,0.066666667,0.0,0.2,1,1,1,3,2,0,0,6,1566.5,0.8660254037844386,0.5000000000000001,,,261.0833333333333
97,0,0.0,0,0.0,4,105.0,0.0,0.025,0.0,0.6,1,1,1,4,2,0,0,4,105.0,0.8660254037844386,0.5000000000000001,,,26.25
98,0,0.0,1,0.0,7,50.0,0.038095238,0.080952381,0.0,0.6,2,4,1,7,2,0,0,8,50.0,0.8660254037844386,0.5000000000000001,,0.0,7.142857142857143
99,0,0.0,0,0.0,16,644.2,0.004166667,0.031666667,0.0,0.0,3,2,3,4,2,0,0,16,644.2,0.8660254037844386,0.5000000000000001,,,40.2625
100,3,18.33333333,0,0.0,38,2635.177778,0.0,0.008947368,0.0,0.4,2,4,1,2,2,0,0,41,2653.5111113300004,0.8660254037844386,0.5000000000000001,6.1111111099999995,,69.34678363157896
101,4,61.0,0,0.0,19,607.0,0.0,0.026984127,17.53595893,1.0,1,1,7,4,2,1,1,23,668.0,0.8660254037844386,0.5000000000000001,15.25,,31.94736842105263
102,0,0.0,0,0.0,6,415.0,0.0,0.033333333,0.0,0.4,1,1,3,2,2,0,0,6,415.0,0.8660254037844386,0.5000000000000001,,,69.16666666666667
103,2,31.0,1,16.0,36,2083.530952,0.0,0.01351025,0.0,0.8,2,2,4,3,2,0,0,39,2130.530952,0.8660254037844386,0.5000000000000001,15.5,16.0,57.87585977777778
104,3,58.5,0,0.0,17,281.6666667,0.007058824,0.017647059,0.0,0.0,1,1,3,4,2,0,0,20,340.1666667,0.8660254037844386,0.5000000000000001,19.5,,16.568627452941175
105,0,0.0,0,0.0,2,27.0,0.15,0.15,0.0,0.0,1,1,7,2,2,0,0,2,27.0,0.8660254037844386,0.5000000000000001,,,13.5
106,0,0.0,1,0.0,9,215.0,0.044444444,0.074074074,0.0,0.8,4,1,1,3,2,0,0,10,215.0,0.8660254037844386,0.5000000000000001,,0.0,23.88888888888889
107,0,0.0,0,0.0,12,162.0,0.05,0.066666667,0.0,0.0,1,1,1,3,2,0,0,12,162.0,0.8660254037844386,0.5000000000000001,,,13.5
108,0,0.0,0,0.0,2,114.0,0.05,0.066666667,0.0,0.8,3,3,1,3,2,0,0,2,114.0,0.8660254037844386,0.5000000000000001,,,57.0
109,6,326.25,4,94.0,128,5062.213753,0.000854701,0.01791847,0.0,0.0,2,5,1,3,2,0,0,138,5482.463753,0.8660254037844386,0.5000000000000001,54.375,23.5,39.5485449453125
110,0,0.0,0,0.0,4,253.0,0.0,0.016666667,0.0,0.6,2,2,3,3,2,0,0,4,253.0,0.8660254037844386,0.5000000000000001,,,63.25
111,0,0.0,0,0.0,4,0.0,0.2,0.2,0.0,0.4,2,2,1,3,2,0,0,4,0.0,0.8660254037844386,0.5000000000000001,,,0.0
112,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.8,1,1,2,3,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
113,2,22.0,0,0.0,25,436.5,0.008,0.024,0.0,0.2,2,4,1,1,2,0,0,27,458.5,0.8660254037844386,0.5000000000000001,11.0,,17.46
114,0,0.0,1,93.0,30,1045.833333,0.012903226,0.035483871,0.0,0.2,1,1,1,3,2,0,0,31,1138.833333,0.8660254037844386,0.5000000000000001,,93.0,34.8611111
115,0,0.0,0,0.0,12,317.8333333,0.0,0.005555556,0.0,0.0,1,1,1,4,2,1,0,12,317.8333333,0.8660254037844386,0.5000000000000001,,,26.486111108333333
116,0,0.0,0,0.0,21,1146.333333,0.0,0.012962963,0.0,0.8,3,2,1,3,2,0,0,21,1146.333333,0.8660254037844386,0.5000000000000001,,,54.587301571428576
117,0,0.0,0,0.0,11,577.0,0.018181818,0.027272727,0.0,0.2,2,2,3,1,2,0,0,11,577.0,0.8660254037844386,0.5000000000000001,,,52.45454545454545
118,0,0.0,0,0.0,8,95.0,0.0,0.075,0.0,0.0,4,1,3,3,2,0,0,8,95.0,0.8660254037844386,0.5000000000000001,,,11.875
119,0,0.0,0,0.0,6,301.5,0.0,0.111111111,0.0,0.0,2,4,9,3,2,0,0,6,301.5,0.8660254037844386,0.5000000000000001,,,50.25
120,0,0.0,0,0.0,6,243.0,0.0,0.033333333,0.0,0.0,2,4,4,1,2,0,0,6,243.0,0.8660254037844386,0.5000000000000001,,,40.5
121,0,0.0,0,0.0,4,135.5,0.0,0.05,0.0,0.6,2,2,1,2,2,0,0,4,135.5,0.8660254037844386,0.5000000000000001,,,33.875
122,0,0.0,2,75.0,14,442.3333333,0.0,0.034375,0.0,0.8,1,1,3,3,2,0,0,16,517.3333333,0.8660254037844386,0.5000000000000001,,37.5,31.59523809285714
123,0,0.0,0,0.0,3,41.0,0.0,0.066666667,0.0,0.0,1,1,3,3,2,0,0,3,41.0,0.8660254037844386,0.5000000000000001,,,13.666666666666666
124,0,0.0,0,0.0,11,292.9,0.028,0.11952381,0.0,0.0,2,4,3,1,2,0,0,11,292.9,0.8660254037844386,0.5000000000000001,,,26.627272727272725
125,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,1,3,3,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
126,0,0.0,0,0.0,9,1238.333333,0.0,0.040740741,0.0,0.4,2,2,1,3,2,0,0,9,1238.333333,0.8660254037844386,0.5000000000000001,,,137.59259255555557
127,0,0.0,0,0.0,10,225.4666667,0.0,0.05,0.0,0.4,1,1,8,3,2,0,0,10,225.4666667,0.8660254037844386,0.5000000000000001,,,22.54666667
128,4,462.0,0,0.0,51,1873.216667,0.0,0.00754717,0.0,0.6,2,2,9,3,2,0,0,55,2335.2166669999997,0.8660254037844386,0.5000000000000001,115.5,,36.72973856862745
129,0,0.0,0,0.0,3,13.0,0.133333333,0.166666667,0.0,0.0,2,4,1,1,2,0,0,3,13.0,0.8660254037844386,0.5000000000000001,,,4.333333333333333
130,0,0.0,0,0.0,2,222.0,0.0,0.1,0.0,0.0,2,6,1,2,2,1,0,2,222.0,0.8660254037844386,0.5000000000000001,,,111.0
131,2,20.0,0,0.0,16,214.8333333,0.0,0.022222222,0.0,0.0,2,2,1,6,2,0,0,18,234.8333333,0.8660254037844386,0.5000000000000001,10.0,,13.42708333125
132,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,3,2,3,3,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
133,0,0.0,0,0.0,6,2017.166667,0.0,0.011111111,0.0,0.8,2,2,4,3,2,0,0,6,2017.166667,0.8660254037844386,0.5000000000000001,,,336.1944445
134,6,111.5,0,0.0,26,449.0277778,0.0,0.018518519,0.0,0.6,1,1,3,3,2,0,0,32,560.5277778,0.8660254037844386,0.5000000000000001,18.583333333333332,,17.270299146153846
135,0,0.0,0,0.0,6,158.1666667,0.0,0.033333333,0.0,0.0,3,2,4,2,2,0,0,6,158.1666667,0.8660254037844386,0.5000000000000001,,,26.361111116666667
136,0,0.0,0,0.0,9,303.6666667,0.005555556,0.046296296,0.0,0.0,2,4,5,2,2,0,0,9,303.6666667,0.8660254037844386,0.5000000000000001,,,33.740740744444444
137,0,0.0,0,0.0,3,25.0,0.0,0.066666667,0.0,0.0,2,4,1,5,2,0,0,3,25.0,0.8660254037844386,0.5000000000000001,,,8.333333333333334
138,0,0.0,0,0.0,2,42.0,0.05,0.15,0.0,0.4,2,2,1,4,2,0,0,2,42.0,0.8660254037844386,0.5000000000000001,,,21.0
139,4,103.625,0,0.0,14,1003.416667,0.0,0.018039216,0.0,0.2,1,1,3,3,2,0,0,18,1107.041667,0.8660254037844386,0.5000000000000001,25.90625,,71.67261907142857
140,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,2,7,3,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
141,0,0.0,0,0.0,9,272.5,0.0,0.011851852,0.0,0.2,1,1,6,3,2,0,0,9,272.5,0.8660254037844386,0.5000000000000001,,,30.27777777777778
142,3,19.0,0,0.0,8,344.0,0.0,0.007407407,0.0,0.0,2,4,2,3,2,0,0,11,363.0,0.8660254037844386,0.5000000000000001,6.333333333333333,,43.0
143,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,2,2,3,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
144,0,0.0,1,19.0,10,852.0,0.0,0.009090909,0.0,0.0,2,2,3,6,2,0,0,11,871.0,0.8660254037844386,0.5000000000000001,,19.0,85.2
145,0,0.0,0,0.0,3,780.0,0.066666667,0.066666667,0.0,0.4,2,4,1,3,2,0,0,3,780.0,0.8660254037844386,0.5000000000000001,,,260.0
146,0,0.0,0,0.0,3,1038.0,0.0,0.033333333,0.0,0.0,2,2,1,1,2,0,0,3,1038.0,0.8660254037844386,0.5000000000000001,,,346.0
147,0,0.0,0,0.0,4,573.0,0.0,0.05,0.0,0.0,2,2,3,3,2,0,0,4,573.0,0.8660254037844386,0.5000000000000001,,,143.25
148,0,0.0,0,0.0,28,1231.233333,0.007142857,0.030357143,0.0,0.0,1,1,4,3,2,0,0,28,1231.233333,0.8660254037844386,0.5000000000000001,,,43.97261903571428
149,0,0.0,0,0.0,11,316.6666667,0.0,0.027272727,0.0,0.8,2,2,2,1,2,0,0,11,316.6666667,0.8660254037844386,0.5000000000000001,,,28.78787879090909
150,0,0.0,0,0.0,20,873.7365079,0.0075,0.028166667,0.0,0.0,1,2,1,1,2,0,0,20,873.7365079,0.8660254037844386,0.5000000000000001,,,43.686825395
151,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,2,2,3,4,2,0,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
152,0,0.0,0,0.0,4,16.0,0.1,0.15,0.0,0.0,2,5,5,1,2,0,0,4,16.0,0.8660254037844386,0.5000000000000001,,,4.0
153,0,0.0,0,0.0,19,615.0,0.0,0.026315789,0.0,0.2,2,2,3,3,2,0,0,19,615.0,0.8660254037844386,0.5000000000000001,,,32.36842105263158
154,0,0.0,0,0.0,9,261.75,0.0,0.026666667,0.0,0.0,2,6,1,1,2,0,0,9,261.75,0.8660254037844386,0.5000000000000001,,,29.083333333333332
155,0,0.0,0,0.0,21,615.8831169,0.033333333,0.04993081,0.0,0.0,3,2,2,1,2,1,0,21,615.8831169,0.8660254037844386,0.5000000000000001,,,29.327767471428572
156,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,3,3,3,2,2,1,0,1,0.0,0.8660254037844386,0.5000000000000001,,,0.0
157,0,0.0,0,0.0,6,117.5,0.0,0.033333333,0.0,0.8,1,1,1,3,2,1,0,6,117.5,0.8660254037844386,0.5000000000000001,,,19.583333333333332
160,0,0.0,0,0.0,23,501.6666667,0.008695652,0.01884058,0.0,0.6,1,1,4,2,2,0,0,23,501.6666667,0.8660254037844386,0.5000000000000001,,,21.811594204347827
